id;view;wing;side;A_wing
ACC0028;V;Ant;d;760073.5
EL75321;D;Post;g;759418.5
EL75568;D;Ant;g;759406.5
EL72426;D;Post;d;759176.0
EL43216;V;Post;d;759169.5
EL72517;V;Ant;g;758558.5
EL75510;V;Ant;d;758410.5
EL75692;D;Ant;d;758352.0
EL72485;D;Post;d;757711.0
EL75507;D;Post;d;757227.5
EL72657;V;Ant;g;757181.0
EL43230;D;Ant;g;756946.0
EL72738;D;Ant;g;756943.0
EL72603;D;Post;g;756915.5
EL72418;D;Post;d;756776.5
EL72640;V;Ant;g;756342.5
ACC0043;V;Ant;g;756308.5
EL72733;D;Ant;d;756051.5
EL75539;D;Post;g;755708.0
EL75507;V;Post;d;755621.0
EL75714;V;Ant;g;755178.0
EL75539;V;Post;g;754889.0
EL72699;V;Ant;g;754652.0
EL72430;D;Post;g;754539.0
EL72603;V;Post;g;754413.5
EL72716;D;Ant;d;754342.0
EL72426;V;Post;d;754067.5
EL43132;D;Ant;g;754040.5
ACC0183;D;Ant;g;753672.5
EL75566;D;Ant;g;753431.5
EL43239;D;Ant;d;753312.0
EL72480;V;Ant;g;753163.5
EL72430;V;Post;g;752957.5
EL72410;D;Ant;d;752935.5
EL72590;V;Ant;d;752388.0
EL72658;V;Ant;g;751653.5
EL72450;D;Post;g;751439.0
EL72663;D;Ant;g;751260.5
EL72493;D;Ant;g;751223.5
EL75669;V;Ant;d;751094.0
EL43192;V;Ant;d;750850.0
EL72418;V;Post;d;750217.5
EL75559;V;Post;g;750197.0
EL72602;D;Post;d;749812.5
EL75513;V;Post;d;749290.5
EL72696;V;Ant;d;749225.0
EL72712;D;Ant;d;749222.0
EL43179;V;Post;g;749077.5
EL43175;D;Post;d;748649.5
EL75743;D;Ant;d;748637.0
EL75712;V;Ant;g;748463.0
EL72701;V;Post;g;748315.0
EL72451;D;Ant;g;748272.5
EL75559;D;Post;g;748140.0
EL43179;D;Post;g;747957.0
EL75513;D;Post;d;747854.0
EL72522;V;Ant;d;746860.5
EL75321;V;Ant;g;746611.0
EL75531;V;Ant;g;746583.0
EL72602;V;Post;d;746561.0
EL72598;D;Post;g;746055.0
EL75336;D;Ant;d;745656.0
EL75502;D;Ant;d;745626.0
EL75607;D;Ant;d;744826.0
EL72450;V;Post;g;744350.0
EL72742;D;Ant;d;743871.5
EL75577;D;Ant;d;743620.5
EL75528;V;Ant;g;743368.5
EL72500;D;Ant;d;743079.5
EL75705;D;Ant;g;742707.5
EL72598;V;Post;g;742583.0
EL75511;D;Post;g;742526.0
EL75524;V;Post;g;741752.5
EL72472;D;Ant;d;741645.5
EL72589;V;Ant;g;741568.0
EL72741;D;Ant;g;741195.0
EL43175;V;Post;d;740732.0
EL72599;D;Post;d;740575.5
EL72701;D;Post;g;740316.0
EL72409;V;Ant;d;740259.0
EL72466;D;Ant;g;740223.5
EL75504;D;Post;g;740198.0
EL75511;V;Post;g;740036.5
EL75504;V;Post;g;739386.0
ACC0187;D;Ant;g;739275.5
ACC0034;V;Ant;g;738876.0
EL72599;V;Post;d;738827.5
EL75524;D;Post;g;738441.5
ACC0334;D;Ant;g;738220.5
EL75595;V;Post;d;737679.5
EL72641;D;Ant;d;737139.5
EL72612;D;Post;g;737000.0
ACC0182;D;Ant;d;736953.0
ACC0031;D;Post;g;736352.0
