 ;Label;lumMean;lumSD;area;maxPower;maxFreq;propPower;sumPower;meanPower;powerSD;Mean;SD;File
1; _1489-2220;104.875;62.197;1734962.0;11.874;64.0;0.097;122.49;7.205;3.116;104.875;62.197;ACC0205V
1; _1459-2295;165.423;60.902;2456277.0;10.17;32.0;0.1;101.588;5.976;2.637;165.423;60.902;ACC0206D
1; _1417-2298;159.076;63.906;2443143.0;10.991;32.0;0.103;107.054;6.297;2.897;159.076;63.906;ACC0206V
1; _1400-2263;172.67;60.586;2217886.0;9.893;22.627;0.101;98.424;5.79;2.601;172.67;60.586;ACC0207D
1; _1379-2058;163.828;65.192;2137081.0;11.213;22.627;0.105;106.682;6.275;3.036;163.828;65.192;ACC0207V
1; _1382-2258;179.691;54.185;2484303.0;9.164;32.0;0.102;90.217;5.307;2.316;179.691;54.185;ACC0208D
1; _1392-2330;170.672;58.273;2355863.0;9.889;32.0;0.103;96.387;5.67;2.531;170.672;58.273;ACC0208V
1; _1507-2340;178.986;54.641;2064235.0;9.041;22.627;0.101;89.253;5.25;2.363;178.986;54.641;ACC0209D
1; _1398-2370;173.098;57.311;2060275.0;9.643;22.627;0.102;94.523;5.56;2.464;173.098;57.311;ACC0209V
1; _2005-1765;0.163;1.374;307351.0;12.804;181.019;0.096;133.025;7.825;2.917;0.163;1.374;ACC0210D
1; _2113-1793;0.172;1.4;303244.0;12.557;181.019;0.092;136.545;8.032;2.828;0.172;1.4;ACC0210V
1; _1645-2282;170.891;55.329;1670378.0;9.08;22.627;0.099;92.156;5.421;2.357;170.891;55.329;ACC0211D
1; _1507-2306;164.178;58.379;1641790.0;9.834;22.627;0.1;98.556;5.797;2.464;164.178;58.379;ACC0211V
1; _1534-2371;164.193;63.704;1794752.0;10.549;22.627;0.101;104.309;6.136;2.838;164.193;63.704;ACC0212D
1; _1511-2298;158.778;64.495;1787469.0;11.282;22.627;0.105;107.123;6.301;3.011;158.778;64.495;ACC0212V
1; _1506-2185;155.686;68.139;1969235.0;11.043;32.0;0.097;113.712;6.689;2.886;155.686;68.139;ACC0213D
1; _1495-2188;148.334;68.19;1954123.0;11.305;32.0;0.098;115.691;6.805;3.065;148.334;68.19;ACC0213V
1; _1440-2279;155.198;68.954;1941127.0;11.239;32.0;0.098;114.545;6.738;2.891;155.198;68.954;ACC0214D
1; _1504-2231;148.477;69.753;1924795.0;11.65;32.0;0.1;116.954;6.88;3.183;148.477;69.753;ACC0214V
1; _1519-2370;166.866;61.371;1687920.0;10.207;32.0;0.1;101.828;5.99;2.638;166.866;61.371;ACC0215D
1; _1640-2457;161.836;65.448;1707116.0;10.983;22.627;0.102;108.119;6.36;2.923;161.836;65.448;ACC0215V
