Species;AR;FA;PA;SA;AN;MA;LA;RU;AP;ZY;RO;HE
Parnassius_stoliczkanus;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_stubbendorfii;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_szechenyii;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_tenedius;0;0;1;0;0;0;0;0;0;0;0;0
Parnassius_tianschanicus;0;0;0;1;0;0;0;0;0;0;0;0
Pharmacophagus_antenor;1;0;0;0;0;0;0;0;0;0;0;0
Protesilaus_glaucolaus;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_helios;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_molops;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_protesilaus;0;0;0;0;1;0;0;0;0;0;0;0
Protesilaus_telesilaus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_asius;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_dioxippus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_epidaus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_leosthenes;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_leucaspis;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_marcellus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_philolaus;0;0;0;0;1;0;0;0;0;0;0;0
Protographium_thyastes;0;0;0;0;1;0;0;0;0;0;0;0
Sericinus_montela;1;0;0;0;0;0;0;0;0;0;0;0
Teinopalpus_aureus;0;0;0;0;0;1;0;0;0;0;0;0
Teinopalpus_imperialis;0;0;0;0;0;1;0;0;0;0;0;0
Trogonoptera_brookiana;1;0;0;0;0;0;0;0;0;0;0;0
Trogonoptera_trojana;1;0;0;0;0;0;0;0;0;0;0;0
Troides_aeacus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_amphrysus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_andromache;1;0;0;0;0;0;0;0;0;0;0;0
Troides_criton;1;0;0;0;0;0;0;0;0;0;0;0
Troides_cuneifera;1;0;0;0;0;0;0;0;0;0;0;0
Troides_haliphron;1;0;0;0;0;0;0;0;0;0;0;0
Troides_helena;1;0;0;0;0;0;0;0;0;0;0;0
Troides_hypolitus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_magellanus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_minos;1;0;0;0;0;0;0;0;0;0;0;0
Troides_miranda;1;0;0;0;0;0;0;0;0;0;0;0
Troides_naias;1;0;0;0;0;0;0;0;0;0;0;0
Troides_oblongomaculatus;1;0;0;0;0;0;0;0;0;0;0;0
Troides_plato;1;0;0;0;0;0;0;0;0;0;0;0
Troides_prattorum;1;0;0;0;0;0;0;0;0;0;0;0
Troides_rhadamantus;1;0;0;0;0;0;0;0;0;0;0;0
