id;view;wing;side;x;y;minor_axis;major_axis;distance_contours;distance_CU2;A_wing
ACC0015;V;Ant;g;205.8986664;87.05446625;11.52173615;12.44944572;31.90247489;;27547
ACC0015;V;Ant;g;257.0766602;75.99753571;13.64534187;30.00367355;17.45142032;;27547
ACC0015;V;Ant;g;191.7088928;70.35540009;13.63085651;15.79533768;27.35482966;;27547
ACC0015;V;Ant;g;216.2774048;57.87892914;13.66156578;19.06245995;16.30944836;;27547
ACC0015;V;Post;g;283.3037415;401.684845;15.98828316;35.06542206;11.7513344;353.127559;25912
ACC0015;V;Post;g;319.7843018;399.8916321;18.41152191;34.63329697;17.47646242;338.4558268;25912
ACC0015;V;Post;g;262.3538208;368.9624939;20.86018562;38.35997772;16.54016587;333.1068579;25912
ACC0015;V;Post;g;359.9387207;354.1281128;24.9762764;34.02238464;16.0441104;283.5113823;25912
ACC0015;V;Post;g;259.5370483;324.9631348;23.09943199;31.67174149;19.0155251;297.0279736;25912
ACC0015;V;Post;g;354.289978;310.6676025;12.16665459;14.73908997;38.79687651;242.9839553;25912
ACC0015;V;Post;g;317.7171631;292.9915771;28.32302856;36.05763626;44.23534902;240.0509798;25912
ACC0015;V;Post;g;275.1231384;280.3691101;17.90375328;26.57199669;12.52125055;251.5790023;25912
ACC0015;V;Post;g;323.2219238;262.9530334;12.83334923;14.57984066;31.01143908;210.8793728;25912
ACC0015;V;Post;g;366.9754333;266.7290344;28.18554497;33.30168152;45.32961277;197.2557059;25912
ACC0015;V;Post;g;302.9845581;247.2705994;16.55879211;19.79632187;9.480637292;208.4177664;25912
ACC0015;V;Post;g;387.9978638;231.879425;11.98254776;22.53562546;17.87942505;158.0867389;25912
ACC0015;V;Post;g;343.4326477;233.3796692;21.87955475;31.68270302;14.78078867;175.2630336;25912
ACC0017;D;Post;d;503.3606873;431.7173767;7.184592247;10.89011288;22.37519947;483.1415186;17201
ACC0018;D;Ant;g;268.4633484;139.0411835;28.50276375;31.6836853;35.80743472;;43051
ACC0018;D;Post;g;263.5968323;360.2615967;18.67220116;39.11641693;49.99442189;366.7115047;24456
ACC0018;V;Post;g;264.7495117;362.2101746;16.15554428;34.12564087;49.70085668;367.789072;24465
ACC0018;V;Post;g;272.6376343;286.3189697;9.766840935;11.92778587;7.056847075;300.2927717;24465
ACC0019;V;Post;d;477.0820007;350.0488892;6.816057205;13.47539139;41.06932149;393.7199893;25433
ACC0020;V;Post;d;522.0166626;300.0679626;14.29622173;19.52506065;18.64610412;322.879227;15677
ACC0021;D;Post;g;308.329071;368.8769531;9.453629494;10.40261269;37.94806395;316.5526;19116
ACC0021;D;Post;g;297.2744446;296.6986084;12.35031796;18.88614655;22.6986084;257.0155441;19116
ACC0021;V;Post;g;294.0466614;301.3213196;12.1836071;17.9948616;20.32131958;262.6416105;19072
ACC0022;D;Post;g;250.7707672;373.0658875;9.650988579;12.1592226;14.91453838;375.1224988;22327
ACC0022;D;Post;g;249.5947571;338.1103516;9.563220978;10.52396584;12.23050587;345.6406412;22327
ACC0022;V;Ant;g;249.2274017;249.9216614;18.88262558;42.07731628;33.24626911;;33178
ACC0022;V;Ant;g;238.3472748;220.7308655;23.15319061;47.68498993;35.10786354;;33178
ACC0022;V;Post;g;325.0057983;426.3565979;9.051758766;16.74044228;9.14310855;396.0430097;22311
ACC0022;V;Post;g;300.0385437;419.7244873;11.82795811;18.76725006;25.2755127;397.3461709;22311
ACC0022;V;Post;g;274.8815613;400.4396667;11.4417944;21.84976387;24.296571;388.8058864;22311
ACC0022;V;Post;g;252.7406616;378.6411133;9.947469711;13.73675442;14.50330012;379.0576294;22311
